title,institution,level,language,n_enrolled,price,price_certificate
Introducción a Ciencias de Datos y Estadística Básica para Negocios,Tecnológico de Monterrey,Advanced,Español,0,FREE-Add a Verified Certificate for $49.99 USD,49.99
Introduction to Psychological Research Methods,The University of Queensland,Introductory,English,"17,087",FREE-Add a Verified Certificate for $99 USD,99.0
Sustainable Packaging in a Circular Economy,Delft University of Technology,Intermediate,English,"6,277",FREE-Add a Verified Certificate for $50 USD,50.0
Design in Healthcare: Using Patient Journey Mapping,Delft University of Technology,Introductory,English,"17,946",FREE-Add a Verified Certificate for $129 USD,129.0
"El manejo de plagas, malezas y enfermedades en los Sistemas de Siembra Directa",Universidad Nacional de Córdoba,Intermediate,Español,0,FREE-Add a Verified Certificate for $99 USD,99.0
"Electronic, Optical, and Magnetic Properties of Materials",Massachusetts Institute of Technology,Advanced,English,"9,717",FREE-Add a Verified Certificate for $150 USD,150.0
La España del Quijote,Universidad Autónoma de Madrid,Introductory,Español,"13,277",FREE-Add a Verified Certificate for $19 USD,19.0
Risk Management for Projects,University of Adelaide,Introductory,English,"22,269",FREE-Add a Verified Certificate for $199 USD,199.0
Smithsonian’s Objects That Define America,The Smithsonian Institution,Introductory,English,"9,071",FREE-Add a Verified Certificate for $50 USD,50.0
Creating Modern China: The Republican Period to the Present,Harvard University,Introductory,English,"43,045",FREE-Add a Verified Certificate for $139 USD,139.0
Discover Political Science,Université catholique de Louvain,Intermediate,English,"6,573",FREE-Add a Verified Certificate for $50 USD,50.0
Data Science: Inferential Thinking through Simulations,"University of California, Berkeley",Introductory,English,"17,505",FREE-Add a Verified Certificate for $199 USD,199.0
Programming for Data Science,University of Adelaide,Introductory,English,"41,268",FREE-Add a Verified Certificate for $199 USD,199.0
Public Sector Debt Statistics,The International Monetary Fund,Intermediate,English,0,FREE-Add a Verified Certificate for $25 USD,25.0
Sensor Fusion and Non-linear Filtering for Automotive Systems,Chalmers University of Technology,Advanced,English,"9,709",FREE-Add a Verified Certificate for $299 USD,299.0
Creación musical con Soundcool: Introducción,Universitat Politècnica de Valencia,Introductory,Español,0,FREE-Add a Verified Certificate for $30 USD,30.0
First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,Harvard University,Introductory,English,"8,222",FREE-Add a Verified Certificate for $49 USD,49.0
The Quantum Internet and Quantum Computers: How Will They Change the World?,Delft University of Technology,Introductory,English,"15,014",FREE-Add a Verified Certificate for $50 USD,50.0
Research Methods: An Engineering Approach,Wits University,Introductory,English,"20,444",FREE-Add a Verified Certificate for $169 USD,169.0
Idealismo filosófico y cosmovisiones: cómo hacer mundos con ideas,Universidad Autónoma de Madrid,Introductory,Español,"15,349",FREE-Add a Verified Certificate for $49 USD,49.0
Rise to Leadership: Become a CEO,Babson College,Intermediate,English,"16,719",FREE-Add a Verified Certificate for $199 USD,199.0
Building a Cybersecurity Toolkit,University of Washington,Introductory,English,"23,275",FREE-Add a Verified Certificate for $199 USD,199.0
Marketing your Android apps,Universidad Galileo,Intermediate,English,0,FREE-Add a Verified Certificate for $49 USD,49.0
Embedded Systems Essentials with Arm: Getting Started,Arm Education,Intermediate,English,0,FREE-Add a Verified Certificate for $149 USD,149.0
Life with Diabetes,Curtin University,Introductory,English,"12,318",FREE-Add a Verified Certificate for $139 USD,139.0
Human Reproduction,University of Adelaide,Intermediate,English,"5,517",FREE-Add a Verified Certificate for $169 USD,169.0
Enabling Technologies for Data Science and Analytics: The Internet of Things,Columbia University,Introductory,English,"71,290",FREE-Add a Verified Certificate for $99 USD,99.0
Astrophysics: Exploring Exoplanets,Australian National University,Intermediate,English,"48,539",FREE-Add a Verified Certificate for $50 USD,50.0
Unconventional Reservoir Geomechanics,Stanford University,Introductory,English,0,FREE-Add a Verified Certificate for $129 USD,129.0
Strategic Account Management,Queen’s University,Introductory,English,0,FREE-Add a Verified Certificate for $149 USD,149.0
PyTorch Basics for Machine Learning,IBM,Introductory,English,0,FREE-Add a Verified Certificate for $39 USD,39.0
Diseño y Desarrollo de Recursos Multimedia para la Enseñanza Virtual,Universidad Galileo,Intermediate,Español,"14,266",FREE-Add a Verified Certificate for $49 USD,49.0
Introduction to Cloud Foundry and Cloud Native Software Architecture,The Linux Foundation,Introductory,English,"24,444",FREE-Add a Verified Certificate for $169 USD,169.0
Gestión de compras eficientes para tu empresa,LOGYCA,Introductory,Español,0,FREE-Add a Verified Certificate for $25 USD,25.0
Know HBV And HCV,Stanford University,Introductory,English,0,FREE-Add a Verified Certificate for $50 USD,50.0
The Supreme Court & American Politics,University of Baltimore-University System of Maryland,Introductory,English,"6,216",FREE-Add a Verified Certificate for $29 USD,29.0
Sales Enablement & Analytics,Queen’s University,Introductory,English,0,FREE-Add a Verified Certificate for $149 USD,149.0
Inversión Extranjera como Motor del Desarrollo para América Latina y el Caribe,Inter-American Development Bank,Intermediate,Español,"16,423",FREE-Add a Verified Certificate for $25 USD,25.0
Liderazgo en la empresa familiar,Tecnológico de Monterrey,Intermediate,Español,"10,969",FREE-Add a Verified Certificate for $49 USD,49.0
Comparative Political Systems,Università degli Studi di Napoli Federico II,Introductory,English,"6,934",FREE-Add a Verified Certificate for $59 USD,59.0
Introducción al Derecho en la vida cotidiana,Universidad Autónoma de Madrid,Introductory,Español,0,FREE-Add a Verified Certificate for $49 USD,49.0
Cloud Computing for Enterprises,University System of Maryland-University of Maryland Global Campus,Intermediate,English,"27,241",FREE-Add a Verified Certificate for $299 USD,299.0
Diversity and Social Justice in Social Work,The University of Michigan,Advanced,English,"11,055",FREE-Add a Verified Certificate for $199 USD,199.0
Public Library Marketing and Public Relations,The University of Michigan,Introductory,English,"7,525",FREE-Add a Verified Certificate for $49 USD,49.0
"Healthcare Finance, Economics and Risk",Doane University,Intermediate,English,"8,006",FREE-Add a Verified Certificate for $199 USD,199.0
Reacciones Químicas y Cálculos Estequiométricos,Universitat Politècnica de Valencia,Introductory,Español,"8,907",FREE-Add a Verified Certificate for $49 USD,49.0
Seeking Women’s Rights: Colonial Period to the Civil War,Columbia University,Intermediate,English,"5,157",FREE-Add a Verified Certificate for $50 USD,50.0
VideoX: Creating Video for the edX Platform,edX,Introductory,English,"12,159",FREE-Add a Verified Certificate for $99 USD,99.0
Comisión de la Verdad Colombia,Pontificia Universidad Javeriana,Introductory,Español,0,FREE-Add a Verified Certificate for $29 USD,29.0
MathTrackX: Probability,University of Adelaide,Introductory,English,0,FREE-Add a Verified Certificate for $79 USD,79.0
Health Informatics for better and safer healthcare,IsraelX,Introductory,English,0,FREE-Add a Verified Certificate for $49 USD,49.0
Sign Language Science: Factors Contributing to Natural Change,Georgetown University,Introductory,English,0,FREE-Add a Verified Certificate for $99 USD,99.0
Accounting System Structure and Information Management,NYIF,Introductory,English,0,FREE-Add a Verified Certificate for $50 USD,50.0
Sustainable Development: The Post-Capitalist Order,SDG Academy,Introductory,English,"7,031",FREE-Add a Verified Certificate for $49 USD,49.0
"Health Law, Policy, and Advocacy",Doane University,Intermediate,English,"6,358",FREE-Add a Verified Certificate for $199 USD,199.0
Introduction to Haptics,Stanford University,Introductory,English,0,FREE-Add a Verified Certificate for $129 USD,129.0
Gestión de inventario y portafolio,LOGYCA,Introductory,Español,0,FREE-Add a Verified Certificate for $25 USD,25.0
Understanding Nuclear Energy,Delft University of Technology,Intermediate,English,"16,015",FREE-Add a Verified Certificate for $50 USD,50.0
Cómo Convertirse en un Líder Exitoso (Entrenamiento de Liderazgo Inclusivo),Catalyst,Introductory,Español,"11,431",FREE-Add a Verified Certificate for $50 USD,50.0
Decision Making Under Uncertainty: Introduction to Structured Expert Judgment,Delft University of Technology,Introductory,English,0,FREE-Add a Verified Certificate for $50 USD,50.0
AP® Calculus BC,Davidson Next,Introductory,English,"8,542",FREE-Add a Verified Certificate for $49 USD,49.0
