id,title,level,n_enrolled,n_lectures,date,price
1051570,Transfer Pricing A Complete Analysis,All Levels,1852,14,2016-12-28,50
262370,Accounting: Get Hired Without Work Experience,All Levels,4661,20,2014-09-01,100
1188178,Forex Trading for Beginners - Basics,All Levels,989,11,2017-04-24,50
824592,Basic Bookkeeping Hacks,All Levels,5841,28,2016-06-14,20
1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),All Levels,1087,61,2017-03-23,200
1243448,"Forex Trading with Fixed 'Risk through Options Trading""",Basic,611,26,2017-06-07,200
730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",All Levels,1922,15,2016-01-21,60
252396,How to Pick The Right Penny Stocks To Invest In 2017,All Levels,9015,23,2014-07-01,150
1198166,Top 10 Trading Ideas in the Equities Market,All Levels,661,12,2017-05-02,20
920604,Intro to Financial Modeling,Basic,1077,55,2016-08-19,105
215728,Shark Accounting - Building a Business by the Numbers!,Basic,6050,17,2014-05-18,20
722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,All Levels,3523,45,2016-01-10,150
48841,Accounting in 60 Minutes - A Brief Introduction,Basic,56659,16,2013-04-07,0
907444,SAP FICO For Beginners - A Guide to SAP Financial Accounts,Basic,1444,59,2016-07-25,100
317030,Learn how to double your Forex Trading Account in one trade,Intermediate,2900,36,2014-10-19,60
891490,"Accounting Superpowers: Learn Accounts, Understand Business!",Basic,1437,34,2016-08-08,200
1070886,Python Algo Trading: FX Trading with Oanda,Intermediate,453,33,2017-03-14,200
812616,Save on Your Taxes,All Levels,2437,23,2016-11-16,20
407984,Financial Model Basics: Build a model from start to finish,Basic,5057,13,2015-02-06,30
214046,Option Trading for Rookies: The Covered Call Option Strategy,Basic,6092,29,2016-11-03,95
512400,EFT for Stock Options Trading Success & Making Better Trades,All Levels,4530,31,2015-08-06,95
377370,Learn to Trade the Stock Market without Blowing Your Profits,All Levels,6967,34,2017-05-02,60
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,Basic,727,25,2017-04-26,20
945750,Fundamentals of Accounting,All Levels,1560,25,2016-08-31,20
1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",All Levels,1047,46,2017-01-26,200
1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,Intermediate,1045,17,2017-04-24,125
402836,Accounting 101: How to read an Accounting Balance Sheet,Basic,3050,22,2015-01-27,200
588764,Stock Options Day Trading Mindset for Success,All Levels,2988,43,2015-09-29,200
576946,Introduction to bookkeeping and Accounting,Basic,2623,20,2015-08-21,35
543242,Learn to Trade The News,All Levels,1924,544,2015-07-16,200
502240,"Value Investing, Taught by Six Superinvestors",All Levels,3804,66,2015-06-19,200
598266,Trading for everyone - The Independent Investor Course I,Basic,4133,36,2015-10-08,120
814068,Get Acquired: Learn From The Head Of Acquisitions For eBay,All Levels,1420,29,2016-04-28,195
1076920,Stock Market investment: Practical Accounting,Basic,1120,43,2017-01-23,125
1103272,"How to remove 'Risk from Penny Stocks - Options Trading""",All Levels,668,22,2017-02-07,200
441112,Accounting Basics in 66 Minutes (absolutely for beginners),All Levels,4086,14,2015-03-08,25
1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand",All Levels,1033,29,2017-01-11,200
1028030,Analysis of Company Financial Statements,All Levels,832,34,2016-12-07,20
1018380,Forex Trading Like Banks – Step by Step with Live Examples,All Levels,677,40,2016-12-18,195
575676,Fundamentals of Investing!,Basic,3125,13,2015-08-09,20
1105216,Bank Financial Management A Comprehensive Study,All Levels,1081,21,2017-02-10,50
936328,Learn to Trade Forex and Stocks: From Beginner to Advanced,All Levels,1645,42,2016-09-07,200
43441,"Master 'Technical Analysis and Chart reading skills Bundle""",All Levels,3348,13,2013-02-25,120
1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,All Levels,939,19,2017-02-10,200
584410,The Ultimate Guide to Dividend & Dividend Growth Investing,All Levels,2115,88,2015-11-13,200
625568,Charting for Beginners 101: Technical Analysis Demystified,All Levels,2230,10,2015-10-09,45
297742,Build a DCF Valuation Model,All Levels,2053,44,2014-10-01,50
24877,Introductory Financial Accounting,Basic,1793,54,2012-10-03,80
1188742,Introduction to Cryptocurrencies and Blockchain,Basic,3775,11,2017-05-01,0
597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,All Levels,521,24,2016-02-24,200
415802,Accounting Standards Basics (Professional Course Level),All Levels,2222,12,2015-02-07,20
323950,Use the Magic Multiple Moving Average Forex Trading system,Intermediate,1097,10,2014-11-08,50
488818,QuickBooks 2015 Training for Newbies,Basic,2506,76,2015-05-11,200
610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,Intermediate,975,23,2015-09-30,120
638980,Option Trading: How to Adjust Delta-Neutral Strangles!,All Levels,1398,26,2015-10-19,145
599684,Profitable binary option trading strategy,All Levels,1096,24,2015-10-29,195
332848,Tax Strategy: Financial Planning for Beginners,All Levels,1703,25,2014-11-04,200
354324,Accounting 2 Simplified for You,Basic,1446,27,2014-12-09,45
379682,Project Funding Modelling (for Professionals),All Levels,2736,8,2014-12-29,20
319020,Investing: How I Consistently Beat The Stock Market,All Levels,2000,34,2014-12-11,200
713258,Bookkeeping Basics:  Understand the Fundamentals,Basic,853,48,2016-11-06,75
537884,Leasing - A Comprehensive Study (Professional Course Level),All Levels,3094,22,2015-07-17,20
919906,Trading Options For Consistent Returns: Options Basics,Basic,4077,20,2016-08-18,0
46010,TechniTrader Leading Hybrid Indicator Trading,Intermediate,4117,5,2013-04-04,20
777932,Financial modeling: Build a DCF equity valuation model,All Levels,1369,31,2016-03-06,20
773934,CryptoArbitrager: Bitcoin Trading Robot (no mining),All Levels,1224,14,2016-03-23,150
221306,Accounting Is Easy (for Beginners),All Levels,3870,90,2014-05-20,20
830994,Non Directional Weekly Options Trading System - ETF & Emini,All Levels,897,21,2016-05-24,200
723510,The Complete Position Trading Course: Position Trading Stock,All Levels,1311,5,2016-01-15,45
42643,Master Iron Condors - Double the credit for half the risk,Advanced,1338,7,2013-03-02,60
411778,Basics of investing in Mutual Funds,Intermediate,1589,42,2015-03-03,20
366514,A Value Investing Approach to the Stock Market,All Levels,1189,15,2015-02-19,20
471588,Learn how to INVEST for huge profits or make it big trading!,All Levels,701,37,2015-06-19,50
390096,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",Intermediate,1105,54,2015-02-11,50
607876,Mastering Candlestick Charting : High Probability Trading,All Levels,123,35,2015-09-22,50
249950,Binary Options Course - Level 2,Intermediate,5874,9,2014-06-26,0
792216,Stock Technical Analysis with R,All Levels,354,49,2016-03-18,50
45139,"Get to know the VIX Index (aka 'The Fear Index)""",All Levels,727,9,2013-03-08,60
692176,Apply finance concepts for smart project management,Basic,3465,24,2016-02-23,0
1224262,Introduction to Futures Trading and Live Trade Demonstration,Advanced,54,6,2017-05-24,60
598094,Crowdfunding to Win,All Levels,627,15,2015-09-23,40
40039,Comprehensive Forex Mastery Program,All Levels,650,97,2013-02-07,45
1266148,Preparation of Consolidated Financial Statements (Basic),Intermediate,965,18,2017-06-28,0
791422,Succeed in Bonds Even if You Don't Know Where to Start,All Levels,1113,8,2017-02-03,200
352150,Learn to Trade for Profit: Ten Most Profitable Trading Rules,All Levels,739,45,2014-12-23,95
791436,Succeed in Lotto Even if You Don't Know Where to Start!,All Levels,1201,18,2017-05-11,20
537878,CFA Corporate Finance Level 2,All Levels,2474,128,2015-07-07,50
923184,Pin Bars: The Most Powerful Forex Trading Signal,All Levels,494,19,2016-08-10,200
476256,Stock Options Trades Using Interactive Brokers,Intermediate,1580,14,2015-09-07,95
552504,Introduction to Options - Strategies For Consistent Profits,All Levels,617,55,2015-08-16,40
537888,Risk in Forex Transactions - for CA / CS / CFA exams,All Levels,2235,9,2015-09-29,20
385686,Basics of Business Statistics (College Level),All Levels,2293,28,2015-01-06,20
738900,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",Basic,1094,13,2016-03-30,200
57415,Interpreting Financial Statements,Basic,1449,23,2013-06-06,20
155344,Introduction to Bookkeeping (Accounting),Basic,3251,59,2014-01-31,20
42491,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,Intermediate,607,16,2013-03-05,60
511952,Investment Banking: How to Land a Job on Wall Street,All Levels,1218,63,2015-06-11,75
530246,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,All Levels,1132,18,2015-07-20,20
862786,Financial modeling: Build a multiples valuation model,All Levels,656,20,2016-05-30,20
165122,Trade Recap I - A Real Look at Futures Options Markets,Basic,3339,11,2014-02-17,20
530768,Advanced Stock Options for Serious Equity Investors!,Advanced,1271,7,2015-09-22,200
218416,Trading Binary Options for Fun and Profit,All Levels,1574,46,2015-02-21,20
619296,CFA: Fast Track your career in Finance,Basic,1393,21,2015-09-29,20
717278,How to be a Profitable Forex Trader,All Levels,1029,7,2016-05-04,20
445916,Excel Dashboard - Interactive Excel Dashboard and Charts,All Levels,843,34,2015-03-19,30
267984,Accounting 101: Learn Business Finance Forecasting in 60mins,All Levels,1730,12,2014-07-24,95
180362,The Securities Trade Lifecycle,All Levels,1182,22,2014-03-12,50
364810,Double your Forex Account using the MAGIC MA trading robot,Intermediate,1160,24,2014-12-10,65
692722,Technical Analysis 101: How to Profit During Market Crashes,All Levels,1730,53,2016-01-27,95
298558,Advanced Accounting for Investment Banking,Intermediate,1260,38,2014-10-01,50
480752,Investing In Stocks With 10 Simple Rules,All Levels,871,59,2015-06-16,95
637922,Venture Capital. What is it and Why it Matters to You!,All Levels,1566,25,2015-10-14,50
337320,Cash Flow Valuation: Develop Your Financial Literacy,All Levels,2987,19,2014-12-22,105
876646,Direction-Independ Trading - Elite Forex Traders  Strategy,All Levels,973,28,2016-06-21,120
529424,How to Become a Financial Analyst from Scratch!,Basic,2177,38,2015-07-07,40
720814,First Steps to Trading the Forexmarkets : Technical Analysis,Basic,1772,15,2016-01-08,35
515326,Financial analysis: Compare performance of companies,All Levels,1850,20,2015-06-01,20
1218552,Forex for Beginners: Easy Forex Trading for Beginners,Basic,1780,9,2017-05-18,0
851106,Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),Basic,4607,11,2016-05-17,0
429308,Read financial statements like a pro,Intermediate,12,38,2015-03-02,50
302450,10 Numbers Every Business Owner Should Know,All Levels,13,9,2015-03-08,20
1117834,Learn How To Trade Gold In 2017,All Levels,2,16,2017-04-06,200
190816,IAS 18 - Revenue,All Levels,2571,23,2014-03-29,0
244000,Forex Trading: The High ROI Forex Trading End of Day Course,Intermediate,8,19,2014-06-16,125
429482,Fundraise the Simplified Way: A Crowdfunding Blueprint,All Levels,7,19,2015-02-23,35
831940,Fundamentals of Accounting for Business Owners,Basic,217,47,2017-02-06,20
833770,Practical Financial Statement Analysis,All Levels,22,45,2017-05-01,75
658764,Forex Management - Detailed Study for CA / CS / CFA Exams,All Levels,131,38,2015-11-03,50
707224,Financial Statement Review 101:  How to Find Errors,Basic,5,15,2017-02-03,30
64739,Professional Risk Manager (PRM) Certification: Level 1,All Levels,116,51,2013-07-23,50
907716,International Tax  - Tax Beyond boundaries,All Levels,27,235,2016-09-06,100
1030976,The Complete Financial Statement Analysis Course,Basic,912,37,2017-01-11,150
722682,Advanced Excel functions,All Levels,1964,15,2016-01-12,20
1122146,Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),Basic,1033,31,2017-02-22,200
808506,Candlestick Analysis For Professional Traders,Advanced,913,48,2016-05-18,95
673016,Build A Career In Forex Trading- Learn Fundamental Analysis,All Levels,2092,52,2015-11-23,200
358062,Financial Modeling: Build a Complete DCF Valuation Model,All Levels,2240,44,2014-12-03,95
372234,Hands-on Financial Modeling (With 6 Excel Templates),Intermediate,4601,14,2015-04-02,30
822514,CAIIB Advanced Bank Management (Part I),All Levels,2953,211,2016-04-15,25
1045726,Stock Market investment:Non financial fundamental analysis,Basic,1091,29,2016-12-20,125
943426,Learn How to Play CashFlow Game,Basic,1459,26,2016-10-17,35
46927,Basics of Business Finance,Basic,4855,24,2013-03-22,30
567070,Accounting Made Easy 2,Intermediate,4034,40,2015-09-16,50
867440,"Bitcoin: el futuro del dinero, hoy",Intermediate,57,19,2016-06-06,200
501996,Aprende a invertir practicando,All Levels,26,42,2015-05-28,35
1103590,Trading con retrocesos de Fibonacci,All Levels,14,15,2017-02-07,25
1172370,Mit Finanzwissen zu besserem Unternehmertum,Basic,49,23,2017-05-10,50
673702,Como hacer empresa en 10 sesiones prácticas,Intermediate,11,10,2015-11-19,20
821108,المحاسبة للإداريين و غير المحاسبين,Basic,9,17,2016-04-23,20
863998,株式投資で本当のファンダメンタル分析ができるようになる,All Levels,91,30,2016-06-21,20
822926,Curso de Trading práctico basado en casos reales,All Levels,44,55,2016-08-29,20
666254,Curso Avanzado de Trading,All Levels,106,100,2015-11-28,125
421546,สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,All Levels,2079,25,2015-02-15,0
518886,MQL4 Tutorial Golden Goose,Basic,135,12,2015-06-07,20
868128,Análise de Concessão de Crédito,All Levels,31,20,2016-06-29,20
986034,Technical Analysis Using Elliott Wave Theory,All Levels,217,16,2016-11-01,60
42642,The Basics Of Volume Analysis,All Levels,611,13,2013-02-24,60
471428,Crash Course on Cost of Capital and Capital Structuring,All Levels,5007,19,2015-04-13,0
600206,Business Accounting Made Easy,Basic,1168,26,2015-09-05,50
283780,Build a DCF Model from Scratch,All Levels,4653,5,2014-09-14,0
52118,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",All Levels,3035,14,2016-06-20,0
42640,Technical Analysis - A practical approach for trade entry,Advanced,454,15,2013-02-24,60
767256,Mastering Technical Analysis : Maximizing Trading Profits,All Levels,325,62,2016-03-04,60
843854,The Complete Guide to Professional Trading with Elliott Wave,All Levels,228,43,2016-05-11,115
247558,A Complete Guide to Becoming a Trader on the Forex Market,All Levels,562,15,2014-06-28,25
696616,Stock Market for Beginners - Complete Starter Toolkit,Intermediate,577,82,2016-03-31,120
205810,Beginners Binary Options Course,Basic,10540,14,2014-04-27,0
507486,Technical Analysis 101: Secrets of Trading Revealed,All Levels,912,81,2015-07-16,150
965306,Forex: What's a Trend and When it is Strong and Reliable,Intermediate,2955,30,2016-10-05,0
1128662,Volatility Trading Analysis with R,Advanced,190,45,2017-03-06,50
1068986,How To Profit From Stock Market Volatility,All Levels,1736,11,2017-01-23,0
