id,title,institution,rating
dog-emotion-and-cognition,Dog Emotion and Cognition,Duke University,5.0
organizational-behavior,International Leadership and Organizational Behavior,Università Bocconi,5.0
sdgbusiness,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,5.0
global-sustainable-development,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,5.0
bcg-uva-darden-digital-transformation,Digital Transformation,BCG,5.0
nlp-sequence-models,Sequence Models,DeepLearning.AI,5.0
entrepreneur-changement,Devenir entrepreneur du changement,HEC Paris,5.0
photography,Seeing Through Photographs,The Museum of Modern Art,5.0
wharton-entrepreneurship-opportunity,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,5.0
search-engine-optimization,Introduction to Search Engine Optimization,"University of California, Davis",5.0
learn-speak-korean1,Learn to Speak Korean 1,Yonsei University,5.0
drug-development,Drug Development,University of California San Diego,5.0
r-programming,R Programming,Johns Hopkins University,5.0
money-banking,Economics of Money and Banking,Columbia University,5.0
learn-chinese,Chinese for Beginners,Peking University,5.0
grammar-punctuation,Grammar and Punctuation,"University of California, Irvine",5.0
japanese-1,Japanese for beginners 1,Saint Petersburg State University,4.0
intro-common-law,Introduction to English Common Law,University of London,5.0
dental-medicine-penn,Introduction to Dental Medicine,University of Pennsylvania,5.0
fundamentals-of-reinforcement-learning,Fundamentals of Reinforcement Learning,Alberta Machine Intelligence Institute,5.0
principles-of-macroeconomics,The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",5.0
corp-sustainability,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,5.0
duke-behavioral-finance,Behavioral Finance,Duke University,4.0
tensorflow-sequences-time-series-and-prediction,"Sequences, Time Series and Prediction",DeepLearning.AI,5.0
supply-chain-logistics,Supply Chain Logistics,Rutgers the State University of New Jersey,5.0
project-execution,Project Execution,"University of California, Irvine",4.5
nutricion-obesidad-sobrepeso,Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,5.0
microeconomics,Microeconomics Principles,University of Illinois at Urbana-Champaign,5.0
craft-of-plot,Creative Writing: The Craft of Plot,Wesleyan University,5.0
astro,Astronomy: Exploring Time and Space,University of Arizona,5.0
oilandgas,Oil & Gas Industry Operations and Markets,Duke University,5.0
uva-darden-design-thinking-innovation,Design Thinking for Innovation,University of Virginia,5.0
becoming-a-veterinarian,EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,5.0
learn-to-program,Learn to Program: The Fundamentals,University of Toronto,5.0
uva-darden-financial-accounting,Financial Accounting Fundamentals,University of Virginia,5.0
finding-purpose-and-meaning-in-life,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,5.0
clinical-research,Understanding Clinical Research: Behind the Statistics,University of Cape Town,5.0
epidemiology,Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,5.0
fashion-design,Fashion as Design,The Museum of Modern Art,5.0
teamwork-skills-effective-communication,Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,5.0
feminism-social-justice,Feminism and Social Justice,"University of California, Santa Cruz",5.0
international-organizations-management,International Organizations Management,University of Geneva,5.0
estrategia-marketing-digital,Marketing Digital,Universidade de São Paulo,5.0
gis,Fundamentals of GIS,"University of California, Davis",5.0
elearning,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,5.0
excel-vba-for-creative-problem-solving-part-1,"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,5.0
international-taxation,Rethinking International Tax Law,Universiteit Leiden,5.0
probability-intro,Introduction to Probability and Data with R,Duke University,5.0
understanding-visualization-data,Understanding and Visualizing Data with Python,University of Michigan,5.0
data-visualization-tableau,Fundamentals of Visualization with Tableau,"University of California, Davis",5.0
sas-programming-basics,Getting Started with SAS Programming,SAS,5.0
uol-machine-learning-for-all,Machine Learning for All,University of London,5.0
python-databases,Using Databases with Python,University of Michigan,5.0
addiction-treatment,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,5.0
dino101,Dino 101: Dinosaur Paleobiology,University of Alberta,5.0
sports-marketing,Sports Marketing,Northwestern University,5.0
positive-psychology,Positive Psychology,The University of North Carolina at Chapel Hill,5.0
matlab,Introduction to Programming with MATLAB,Vanderbilt University,5.0
managing-human-resources,Preparing to Manage Human Resources,University of Minnesota,5.0
solar-energy-basics,Solar Energy Basics,The State University of New York,5.0
bootstrap-4,Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,5.0
google-cloud-java-spring,Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,5.0
forensic-science,Introduction to Forensic Science,"Nanyang Technological University, Singapore",5.0
google-cloud-product-fundamentals,Google Cloud Product Fundamentals,Google Cloud,5.0
contracts-1,American Contract Law I,Yale University,5.0
engineering-health-yoga-physiology,Engineering Health: Introduction to Yoga and Physiology,New York University,5.0
ai-for-medical-diagnosis,AI for Medical Diagnosis,DeepLearning.AI,5.0
sequence-models-in-nlp,Natural Language Processing with Sequence Models,DeepLearning.AI,5.0
electronics,Introduction to Electronics,Georgia Institute of Technology,5.0
international-humanitarian-law,International Humanitarian Law in Theory and Practice,Universiteit Leiden,5.0
making-architecture,Making Architecture,IE School of Architecture & Design,5.0
model-thinking,Model Thinking,University of Michigan,5.0
dyslexia-difficulties,Supporting children with difficulties in reading and writing,University of London,5.0
innovation-management,Innovation Management,Erasmus University Rotterdam,5.0
people-management,The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",5.0
modern-world,"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,5.0
supply-chain-principles,Supply Chain Principles,Georgia Institute of Technology,5.0
gcp-infrastructure-core-services,Essential Google Cloud Infrastructure: Core Services,Google Cloud,5.0
weight-management-beyond-balancing-calories,Weight Management: Beyond Balancing Calories,Emory University,5.0
human-language,Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,5.0
java-programming,Java Programming: Solving Problems with Software,Duke University,5.0
race-cultural-diversity-american-life,Race and Cultural Diversity in American Life and History,University of Illinois at Urbana-Champaign,5.0
motivate-people-teams,Inspiring and Motivating Individuals,University of Michigan,5.0
competencias-digitales-ofimatica,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,5.0
healing-with-the-arts,Healing with the Arts,University of Florida,5.0
wharton-people-analytics,People Analytics,University of Pennsylvania,5.0
what-is-social,What is Social?,Northwestern University,5.0
ux-design-fundamentals,UX Design Fundamentals,California Institute of the Arts,5.0
creative-thinking-techniques-and-tools-for-success,Creative Thinking: Techniques and Tools for Success,Imperial College London,5.0
introclassicalmusic,Introduction to Classical Music,Yale University,5.0
childrens-rights,Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,5.0
investment-management,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,5.0
excel-data-analysis,Introduction to Data Analysis Using Excel,Rice University,5.0
manage-health-covid-19,Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,5.0
international-criminal-law,Introduction to International Criminal Law,Case Western Reserve University,5.0
wharton-fintech-overview-payments-regulations,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,5.0
mythology,Greek and Roman Mythology,University of Pennsylvania,5.0
global-energy,Politics and Economics of International Energy,Sciences Po,5.0
uva-darden-continous-delivery-devops,Continuous Delivery & DevOps,University of Virginia,5.0
english-principles,Teach English Now! Foundational Principles,Arizona State University,5.0
business-model,Business Model Innovation,HEC Paris,5.0
introtoux-principles-and-processes,Introduction to User Experience Principles and Processes,University of Michigan,5.0
beyond-the-sustainable-development-goals-addressing-sustainability-and-development,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,5.0
process-mining,Process Mining: Data science in Action,Eindhoven University of Technology,5.0
immunologyfundamentalsimmunitybcells,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,5.0
wharton-finance,Introduction to Corporate Finance,University of Pennsylvania,5.0
global-diplomacy-un,Global Diplomacy: the United Nations in the World,University of London,5.0
algorithmic-toolbox,Algorithmic Toolbox,University of California San Diego,5.0
troubles-spectre-autisme-diagnostic,Troubles du spectre de l'autisme : diagnostic,University of Geneva,5.0
anatomy403-1x,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,5.0
crash-course-in-causality,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,5.0
business,English for Business and Entrepreneurship,University of Pennsylvania,5.0
attention-models-in-nlp,Natural Language Processing with Attention Models,DeepLearning.AI,3.0
what-is-compliance,What is Compliance?,University of Pennsylvania,5.0
getting-started-with-google-sheets,Getting Started with Google Sheets,Google Cloud,5.0
python-for-data-visualization,Data Visualization with Python,IBM,5.0
foundations-of-mindfulness,Foundations of Mindfulness,Rice University,5.0
negociacion,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,5.0
decision-making,Data-driven Decision Making,PwC,5.0
fe-exam,Fundamentals of Engineering Exam Review,Georgia Institute of Technology,5.0
gender-sexuality,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,5.0
uva-darden-managerial-accounting,Managerial Accounting Fundamentals,University of Virginia,5.0
seo-fundamentals,Search Engine Optimization Fundamentals,"University of California, Davis",5.0
essentials-global-health,Essentials of Global Health,Yale University,5.0
international-security-management,International Security Management,Erasmus University Rotterdam,5.0
aws-machine-learning,Getting Started with AWS Machine Learning,Amazon Web Services,5.0
arts-heritage,Arts and Heritage Management,Università Bocconi,5.0
einstein-relativity,Understanding Einstein: The Special Theory of Relativity,Stanford University,5.0
reussir-le-changement,Réussir le Changement,ESSEC Business School,5.0
equine,Equine Welfare and Management,"University of California, Davis",5.0
international-migrations,International migrations: a global issue,Sciences Po,5.0
web-development,Introduction to Web Development,"University of California, Davis",5.0
writing-editing-words,Writing and Editing: Word Choice and Word Order,University of Michigan,5.0
digital-advertising-landscape,Introduction to the Digital Advertising Landscape,University of Colorado Boulder,5.0
access-control-sscp,Access Controls,(ISC)²,5.0
initiating-planning,Engineering Project Management: Initiating and Planning,Rice University,5.0
kotlin-for-java-developers,Kotlin for Java Developers,JetBrains,5.0
multivariate-calculus-machine-learning,Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,5.0
introduction-git-github,Introduction to Git and GitHub,Google,5.0
industrial-biotech,Industrial Biotechnology,University of Manchester   ,5.0
addiction-and-the-brain,The Addicted Brain,Emory University,5.0
aprendiendo-programar-python,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,5.0
data-lakes-data-warehouses-gcp,Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,5.0
drug-discovery,Drug Discovery,University of California San Diego,5.0
nutrition-pregnancy,Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),5.0
finance-healthcare-managers,Financial Acumen for Non-Financial Managers,University of Pennsylvania,4.0
python-statistics-financial-analysis,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,5.0
bugs-101,Bugs 101: Insect-Human Interactions,University of Alberta,5.0
autodesk-revit-architectural-design,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,5.0
leading-for-equity-diversity-inclusion,"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,5.0
enterprise-architecture,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,5.0
wharton-introduction-spreadsheets-models,Introduction to Spreadsheets and Models,University of Pennsylvania,4.0
human-needs,The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,5.0
clinicalsimulations,Essentials in Clinical Simulations Across the Health Professions,The George Washington University,5.0
schedule-projects,Budgeting and Scheduling Projects,"University of California, Irvine",5.0
machine-learning-business-professionals,Machine Learning for Business Professionals,Google Cloud,5.0
intro-accounting-data-analytics-visual,Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,5.0
spanish-vocabulary-meeting-people,Spanish Vocabulary: Meeting People,"University of California, Davis",5.0
gestionempresarialpyme,Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,5.0
public-policy,Public Policy Challenges of the 21st Century,University of Virginia,5.0
arbitration-international-disputes,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,5.0
introancientegypt,Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,5.0
infrastructure-investing,Financing and Investing in Infrastructure,Università Bocconi,5.0
global-environmental-management,Global Environmental Management,Technical University of Denmark (DTU),5.0
wharton-operations-analytics,Operations Analytics,University of Pennsylvania,5.0
entrepreneurship-strategy,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,1.0
fintechlawandpolicy,FinTech Law and Policy,Duke University,5.0
mental-health,The Social Context of Mental Health and Illness,University of Toronto,5.0
